우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|417|1|4415035021101600051016329|||3611035021||도계리||0|160|01|51||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|419|16|4415035021101600041018124|||3611035021||도계리||0|160|01|41||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|419|10|4415035021101600023018180|||3611035021||도계리||0|160|01|23||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|19|1|4415035021101490000017976|||3611035021||도계리||0|149|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|14|0|4415035021101420006018032|||3611035021||도계리||0|142|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|437|61|4415035021101090000016516|||3611035021||도계리||0|108|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|437|49|4415035021101060003018037|||3611035021||도계리||0|106|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574688|풍덕골길|Pungdeokgol-gil|0|127|0|4415035021101960001018083|||3611035021||도계리||0|196|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|25|0|4415035021100630001016369|||3611035021||도계리||0|63|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|419|5|4415035021101570003018047|||3611035021||도계리||0|157|01|3||
